id,name,lat,lon,verdict,reason
overture:(Village Palmeiras):-22.92328:-43.60556,(Village Palmeiras),-22.923282623291016,-43.60556411743164,REJECT,residential condo branding
overture:200 (Cresa):-22.92274:-43.18384,200 (Cresa),-22.922740936279297,-43.183841705322266,REJECT,real-estate agency code/listing
overture:360 On The Park:-22.98718:-43.35572,360 On The Park,-22.987184524536133,-43.35572052001953,REJECT,condo branding name
overture:786 Prudente:-22.98519:-43.20414,786 Prudente,-22.985191345214844,-43.20414352416992,REJECT,street address number
overture:A Griff Do Bolo:-22.84878:-43.46575,A Griff Do Bolo,-22.848777770996094,-43.46574783325195,REJECT,bakery business
overture:ASM Martins soluções LTDA:-22.94080:-43.56273,ASM Martins soluções LTDA,-22.94080352783203,-43.5627326965332,REJECT,business (LTDA company)
overture:Acquabella:-23.01069:-43.33006,Acquabella,-23.010690689086918,-43.33005905151367,REJECT,condo/building branding
overture:Acueducto Carioca:-22.91260:-43.17985,Acueducto Carioca,-22.91259765625,-43.17985153198242,KEEP,historic Carioca Aqueduct
overture:Adorable Tijuca:-22.93953:-43.24994,Adorable Tijuca,-22.939529418945312,-43.24993515014648,REJECT,condo branding name
overture:Alameda colibris:-22.81650:-43.35398,Alameda colibris,-22.816503524780277,-43.353981018066406,REJECT,street name only
overture:Alaska:-22.98220:-43.23752,Alaska,-22.98219871520996,-43.23752212524414,REJECT,"building/venue branding, single word"
overture:Albany:-22.96449:-43.17756,Albany,-22.96449279785156,-43.17756271362305,REJECT,"building branding, single word"
overture:Alcóolicos Anônimos:-22.92463:-43.24347,Alcóolicos Anônimos,-22.92462730407715,-43.24347305297852,REJECT,"AA support group, not a site"
overture:Alfa Barra I:-23.00978:-43.36476,Alfa Barra I,-23.009784698486328,-43.36476135253906,REJECT,condo branding
overture:Alfa Barra Resort & Services:-23.00969:-43.36879,Alfa Barra Resort & Services,-23.009693145751957,-43.36878967285156,UNCERTAIN,"unmatched in classification pass, defaulted prudently"
overture:Alfabarra II:-23.00983:-43.36737,Alfabarra II,-23.00982666015625,-43.367374420166016,REJECT,condo branding
overture:All Jardim Oceânico:-23.00599:-43.31240,All Jardim Oceânico,-23.0059871673584,-43.31239700317383,REJECT,condo branding
overture:Almirante Calheiros Da Graca:-22.89830:-43.28424,Almirante Calheiros Da Graca,-22.89829635620117,-43.28423690795898,REJECT,street name only
overture:Almirante Guinlem:-22.98589:-43.21849,Almirante Guinlem,-22.98589324951172,-43.21848678588867,REJECT,street name only
overture:Alphaville:-22.99169:-43.39533,Alphaville,-22.99169158935547,-43.39532852172852,REJECT,real-estate development brand
overture:Alphaville Barra da Tijuca:-23.01191:-43.30858,Alphaville Barra da Tijuca,-23.01190757751465,-43.30857849121094,REJECT,real-estate development brand
"overture:Alto Do Corcovado, Rio De Janeiro - RJ:-22.95302:-43.21061","Alto Do Corcovado, Rio De Janeiro - RJ",-22.953022003173828,-43.21060562133789,REJECT,bare address ending in RJ
overture:Alto Grajau:-22.91962:-43.26421,Alto Grajau,-22.919618606567383,-43.26421356201172,REJECT,bare subdistrict/area name
overture:Alvorada da Barra:-23.00313:-43.43569,Alvorada da Barra,-23.00312614440918,-43.435691833496094,REJECT,condo branding
overture:Amarelinho:-22.82423:-43.33832,Amarelinho,-22.82423210144043,-43.33831787109375,UNCERTAIN,"possibly the historic Bar Amarelinho, unclear location match"
overture:Amcrag Guillobel:-22.90521:-43.54246,Amcrag Guillobel,-22.90521049499512,-43.54246139526367,REJECT,business/nonsensical name
overture:America Club Condominium:-22.87661:-43.26614,America Club Condominium,-22.876605987548828,-43.26613998413086,REJECT,condo branding
overture:American Village:-23.00573:-43.48116,American Village,-23.00572967529297,-43.48115539550781,REJECT,condo branding
overture:Amigos do Ocean Drive -:-23.01009:-43.36896,Amigos do Ocean Drive -,-23.010087966918945,-43.36895751953125,REJECT,social/resident group
overture:Amo Cristo Redentor - I Love Christ The Redeemer:-22.96161:-43.27309,Amo Cristo Redentor - I Love Christ The Redeemer,-22.961605072021484,-43.273094177246094,REJECT,"fan page label, not a site"
overture:Amznwarehouses US:-22.93770:-43.33493,Amznwarehouses US,-22.93769645690918,-43.33492660522461,REJECT,warehouse business
overture:Amália/Baleares (Urubuzinho):-22.87576:-43.31109,Amália/Baleares (Urubuzinho),-22.875762939453125,-43.31108856201172,REJECT,building nickname
overture:Ananab Co-Living:-22.93523:-43.19366,Ananab Co-Living,-22.93522834777832,-43.19366455078125,REJECT,co-living business
overture:Anil Jacarepaguá:-22.95775:-43.33608,Anil Jacarepaguá,-22.957748413085938,-43.336082458496094,REJECT,bare neighborhood name
overture:Antiga Casa do Sitio do Picapau Amarelo:-23.04592:-43.55410,Antiga Casa do Sitio do Picapau Amarelo,-23.045921325683597,-43.55409622192383,KEEP,themed historic/cultural house site
overture:Antonio Salema:-22.92295:-43.24063,Antonio Salema,-22.92294692993164,-43.24062728881836,REJECT,street name only
overture:Ap de Bangu:-22.86931:-43.46148,Ap de Bangu,-22.86931037902832,-43.46147537231445,REJECT,personal apartment nickname
overture:Ap-Cdd:-22.95113:-43.35538,Ap-Cdd,-22.951133728027344,-43.355377197265625,REJECT,nonsensical apartment label
overture:Ape Nay e Lipe:-22.81038:-43.32754,Ape Nay e Lipe,-22.810379028320312,-43.32754135131836,REJECT,personal apartment nickname
overture:Aperana:-22.98797:-43.22933,Aperana,-22.98797035217285,-43.22933197021485,REJECT,unclear business/building name
overture:Apogeu Barra:-22.97899:-43.41896,Apogeu Barra,-22.97899055480957,-43.4189567565918,REJECT,condo branding
overture:Apolo:-22.94166:-43.17631,Apolo,-22.9416618347168,-43.17631149291992,REJECT,unclear single-word building name
overture:Apê:-22.98370:-43.20715,Apê,-22.98369789123535,-43.2071533203125,REJECT,"generic ""apartment"""
overture:Apê do Ribery:-22.89782:-43.26364,Apê do Ribery,-22.8978214263916,-43.26363754272461,REJECT,personal apartment nickname
overture:AquaMarina:-22.76058:-43.45336,AquaMarina,-22.760581970214844,-43.4533576965332,REJECT,condo branding
overture:Aqueduct Taquara:-22.93625:-43.39985,Aqueduct Taquara,-22.93624687194824,-43.39985275268555,UNCERTAIN,"possible aqueduct feature, unverified"
overture:Aqueduto da Carioca:-22.91260:-43.17985,Aqueduto da Carioca,-22.91259765625,-43.17985153198242,KEEP,historic Carioca Aqueduct
