name,category
Casa França-Brasil,cultural_center
Chácara do Céu,museum
Museu Casa do Pontal,museum
Museu de Arte do Rio (MAR),museum
Polo Praça XV,public_square
Praia de Botafogo,natural_landmark
Praia de Copacabana,natural_landmark
Praia de Ipanema,natural_landmark
Praia do Arpoador,natural_landmark
Praia do Leblon,natural_landmark
Instituto De Pesquisas Jardim Botânico Do Rio De Janeiro,natural_landmark
Sítio Roberto Burle Marx,natural_landmark
Centro Cultural Banco do Brasil (Rio de Janeiro),cultural_center
Centro Cultural Correios,cultural_center
Centro Cultural Fundição Progresso,cultural_center
Centro Cultural Municipal Parque das Ruínas,cultural_center
Feira de São Cristóvão,market
Instituto Moreira Salles (IMS Rio),cultural_center
Paço Imperial,historic_site
Samba da Pedra do Sal,memorial
Biblioteca Nacional do Brasil,library
Casa de Rui Barbosa,museum
Catedral Metropolitana de São Sebastião,church
Convento de Santo Antônio,church
Estádio Jornalista Mário Filho,historic_site
Fortaleza de São João,historic_site
Forte de Copacabana,historic_site
Igreja da Candelária,church
Igreja da Glória do Outeiro,church
Igreja da Ordem Terceira do Carmo,church
Igreja de N. S. do Carmo (Antiga Sé),church
Igreja de São Francisco da Penitência,church
Igreja de São Francisco de Paula,church
Lagoa Rodrigo de Freitas,natural_landmark
Morro Dois Irmãos,natural_landmark
Mosteiro de São Bento,church
Palácio Tiradentes,historic_site
Palácio do Itamaraty,historic_site
Parque Lage,public_square
Parque do Flamengo (Aterro),public_square
Passeio Público,public_square
Sambódromo da Marquês de Sapucaí,theater
Espaço Cultural Trem do Corcovado,historic_site
Museu Histórico Nacional,museum
Museu Histórico da Cidade RJ,museum
Museu da República (Palácio do Catete),museum
Arcos Da Lapa - Vida Boemia Do Rio De Janeiro,historic_site
Boulevard Olímpico — Mural Etnias,public_square
Cascatinha Taunay,natural_landmark
Comunidade do Vidigal,public_square
Confeitaria Colombo,historic_site
Favela da Rocinha,public_square
Mirante Dona Marta,natural_landmark
Mirante da Praia Vermelha,natural_landmark
Mirante do Pão de Açúcar,natural_landmark
Morro da Urca,natural_landmark
Museu de Arte Contemporânea de Niterói (MAC),museum
Palacio da Ilha Fiscal,historic_site
Pedra da Gávea - Rio de Janeiro,natural_landmark
Praça Vista Chinesa,natural_landmark
Mam - Museu de Arte Moderna,museum
Praça General Osório (Feira Hippie),market
AquaRio - Aquário Marinho do Rio,museum
Espaço Cultural da Marinha,museum
Museu Nacional,museum
Museu Nacional de Belas Artes,museum
Museu da Imagem e do Som (MIS),museum
Museu de Favela MUF,museum
Museu do Amanhã,museum
Planetário da Gávea,museum
Cidade das artes,theater
Circo Voador,theater
Theatro Municipal,theater
Museu das Telecomunicações,museum
Museu de Imagens do Inconsciente,museum
Museu do Açude,museum
Centro Cultural Cartola,cultural_center
Centro Cultural José Bonifácio,cultural_center
Centro Cultural Justiça Federal,cultural_center
Centro Cultural Light,cultural_center
Centro Cultural da Policia Militar,cultural_center
Centro Luiz Gonzaga de Tradições Nordestinas,cultural_center
Fundição Progresso,theater
Imperator - Centro Cultural João Nogueira,cultural_center
Memorial Getúlio Vargas,memorial
Aqueduto da Colônia Juliano Moreira,memorial
Aterro do Flamengo,public_square
Avenida Rio Branco,public_square
Bebedouro da Estrada Velha da Tijuca,historic_site
Bica da Rainha,historic_site
Capela Nossa Senhora da Cabeça Rio de Janeiro,church
Casa da Marquesa de Santos,historic_site
Casa da Moeda do Brasil,historic_site
Casa das Canoas,historic_site
Casa do Bispo,historic_site
Chafariz Paulo Fernandes,historic_site
Chafariz da Glória,historic_site
Chafariz das Saracuras,historic_site
Chafariz de Grandjean de Montigny,historic_site
Chafariz do Lagarto,historic_site
Coleção Geyer,museum
Colégio Militar do Rio de Janeiro,university
Colégio Pedro II,university
Convento de Santa Teresa,church
Convento do Carmo,church
Copacabana Palace,historic_site
Cristo Redentor,monument
Edifício ''A Noite'',historic_site
Edifício Docas de Santos,historic_site
Edifício Gustavo Capanema,historic_site
Escola Nacional de Belas Artes,university
Estação Central do Brasil,historic_site
Estação Ferroviária Leopoldina - Barão de Mauá,memorial
Estação Leopoldina,memorial
Estátua equestre de Dom Pedro I,monument
Fazenda da Taquara,historic_site
Fazenda do Engenho d’ Água,historic_site
Fortaleza de Nossa Senhora da Conceição (Rio de Janeiro),historic_site
Fortaleza de São José da Ilha das Cobras,historic_site
Forte de São Tiago,memorial
Fortim de Caetano Madeira,historic_site
Hospital Escola São Francisco de Assis,historic_site
Igreja Positivista do Brasil,church
Igreja de Nossa Senhora da Ajuda (Ilha do Governador),church
Igreja de Nossa Senhora da Candelária,church
Igreja de Nossa Senhora da Conceição e Boa Morte,church
Igreja de Nossa Senhora da Glória do Outeiro,church
Igreja de Nossa Senhora da Lapa dos Mercadores,church
Igreja de Nossa Senhora da Pena,church
Igreja de Nossa Senhora da Saúde,church
Igreja do Santíssimo Sacramento da Antiga Sé,church
Igreja de Nossa Senhora do Bonsucesso,church
Igreja de Nossa Senhora do Carmo,church
Igreja de Nossa Senhora do Carmo da Lapa do Desterro,church
Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro),church
Igreja de Santa Cruz dos Militares,church
Igreja de São Francisco da Prainha,church
Igreja do Bom Jesus da Coluna,church
Jardim Botânico do Rio de Janeiro,natural_landmark
Jardim e Morro do Valongo,university
Ladeira da Misericórdia,public_square
Monumento aos Mortos da Segunda Guerra Mundial,monument
Morro da Babilônia,natural_landmark
Morro do Corcovado,natural_landmark
Observatório Nacional,university
Palácio Guanabara,historic_site
Palácio da Conceição,historic_site
Palácio das Laranjeiras,historic_site
Parque Nacional da Tijuca,natural_landmark
Pavilhão Mourisco,historic_site
Praça XV de Novembro,public_square
Quinta da Boa Vista,museum
Santa Casa de Misericórdia do Rio de Janeiro,historic_site
Santuário de Santa Rita de Cássia,church
Solar Grandjean de Montigny,museum
Universidade Federal do Rio de Janeiro,university
Instituto Histórico e Geográfico Brasileiro,library
Instituto de Pesquisa e Memória Pretos Novos (IPN),memorial
Military Museum Conde de Linhares,museum
Museu Histórico e Diplomático,museum
Museu do Negro,museum
Museu do Trem,museum
Museu do Índio,museum
Palácio do Catete,historic_site
Submarino-Museu Riachuelo S-22,museum
Acueducto Carioca,historic_site
Apoteose,public_square
Aqueduto da Carioca,historic_site
Baianas da Estação Primeira de Mangueira,samba_school
Cais do Valongo,memorial
Castelo Mourisco,historic_site
Centro de Tradições Nordestinas Luiz Gonzaga,cultural_center
Cidade Universitária da UFRJ,university
Clube Naval,historic_site
Estatua Equestre de D. Pedro I,monument
Largo do Machado Station,public_square
"Marechal Hermes, Rio de Janeiro",historic_site
Mirante do Valongo,natural_landmark
Obelisco da Avenida Rio Branco,monument
Pala'cio - Parque Lage,public_square
Paço de São Cristóvão,historic_site
Portao Historico da Fortaleza de Sao Joao,historic_site
Sambódromo Setor 10-11-12-13,theater
Selaron Steps,public_square
Vista Chinesa,natural_landmark
Museu de Arte Moderna do Rio de Janeiro,museum
Cristo del Corcovado,monument
Estátua de Carlos Drummond de Andrade,monument
Etnias - Mural de Graffiti,historic_site
Monumento Nacional aos Mortos da Segunda Guerra Mundial,memorial
Monumento Retirada da Laguna,monument
Monumento ao Almirante Barroso Barao do Amazonas,monument
Monumento ao Barão de Mauá,monument
Monumento ao Senador Pinheiro Machado,monument
Monumento aos Pracinhas,memorial
Pedra da Gávea,natural_landmark
Arquivo histórico do Banco do Brasil,cultural_center
Casa Brasil,cultural_center
Casa Museu Eva Klabin,museum
Casa de Banho de Dom Joao VI,museum
Centro Nacional de Flocore e Cultura Popular,cultural_center
Fondation Moreira Sales,cultural_center
Fundação Casa de Rui Barbosa,museum
Memorial Pretos Novos,memorial
Museo Militar Copacabana,museum
Museu Carmen Miranda,museum
Museu Casa de Benjamin Constant,museum
Museu Judaico do Rio de Janeiro,cultural_center
Museu Light da Energia,cultural_center
Museu Naval,museum
Museu Penitenciário,museum
Museu Villa-Lobos,museum
Museu da Geodiversidade,museum
Museu da Ii Guerra Mundial,monument
Museu de Luiz Gonzaga,cultural_center
Museu do Planetário,museum
Palácio Episcopal da Conceição,historic_site
Panteão Duque de Caxias,historic_site
Solar de Grandjean de Montigny,museum
Canecão | Rio de Janeiro RJ,theater
Cidade do Samba RJ,samba_school
Cordão da Bola Preta,samba_school
Cristo Redentor Rio de Janeiro,monument
D.R.I EAV Parque Lage,university
Palácio Maçônico do Lavradio,historic_site
Teatro Justiça,cultural_center
Lago do Campo de Santana,public_square
"Vasco da Gama, Rio de Janeiro",public_square
Palácio de são cristóvão,museum
Fazenda Imperial de Santa Cruz,historic_site
Museu de Sitio Arqueologico da Antiga Se,church
"Christ Redeemer, Rio de Janeiro, Brazil",monument
National Museum of Brazil,museum
Fort Copacabana,museum
Museu do paço,cultural_center
Sugarloaf Mountain,natural_landmark
Centro Cultural Benjamin Peret,cultural_center
Centro Cultural Itaporã,cultural_center
Centro Cultural Oduvaldo Viana Filho,cultural_center
Centro Cultural Prof Dila,cultural_center
Centro Cultural Sindicato dos Rodoviários do Município do Rio de Janeiro,cultural_center
Espaço Cultural Arlindo Cruz,cultural_center
Espaço Cultural Escola Sesc,cultural_center
Fórum de Ciência e Cultura da UFRJ,cultural_center
GRES União da Ilha do Governador,samba_school
Lona Cultural Terra Caetano Veloso,cultural_center
MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro,museum
Museu de Bangu,museum
Pequena África,historic_site
Praça Inhangá Copacabana,natural_landmark
Quinta da Boa Vista - Museu Nacional,museum
Rua do Catete,historic_site
Teatro do Liceu,theater
edifício-sede da Associação Brasileira de Imprensa,historic_site
