name,category,source,lat,lon,wikidata_qid,id
Aldeia Maracanã,art_museum,overture,-22.911029815673828,-43.22772979736328,,overture:Aldeia Maracanã:-22.91103:-43.22773
Cantina do Mam,art_museum,overture,-22.914005279541016,-43.17272186279297,,overture:Cantina do Mam:-22.91401:-43.17272
Casa França-Brasil,art_museum,overture,-22.900606155395508,-43.175724029541016,,overture:Casa França-Brasil:-22.90061:-43.17572
Casa de Cultura Ife Ominira,art_museum,overture,-22.862659454345703,-43.36122131347656,,overture:Casa de Cultura Ife Ominira:-22.86266:-43.36122
Casa de Cultura José Bonifácio,art_museum,overture,-22.763750076293945,-43.10957336425781,,overture:Casa de Cultura José Bonifácio:-22.76375:-43.10957
Chácara do Céu,art_museum,overture,-22.91794776916504,-43.18294906616211,,overture:Chácara do Céu:-22.91795:-43.18295
Cinemateca do MAM,art_museum,overture,-22.913820266723633,-43.17283630371094,,overture:Cinemateca do MAM:-22.91382:-43.17284
Ensaio Técnico de Rua Unidos da Tijuca,art_museum,overture,-22.90422248840332,-43.20692825317383,,overture:Ensaio Técnico de Rua Unidos da Tijuca:-22.90422:-43.20693
Exposição Pessach,art_museum,overture,-22.935863494873047,-43.189781188964844,,overture:Exposição Pessach:-22.93586:-43.18978
Fundação de Arte de Niterói,art_museum,overture,-22.903688430786133,-43.12492752075195,,overture:Fundação de Arte de Niterói:-22.90369:-43.12493
Galeria Mestre Vitalino,art_museum,overture,-22.925739288330078,-43.17658996582031,,overture:Galeria Mestre Vitalino:-22.92574:-43.17659
Instituto Casa Roberto Marinho (ICRM),art_museum,overture,-22.93992805480957,-43.20408630371094,,overture:Instituto Casa Roberto Marinho (ICRM):-22.93993:-43.20409
Leão Etíope do Méier,art_museum,overture,-22.90203285217285,-43.279823303222656,,overture:Leão Etíope do Méier:-22.90203:-43.27982
MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro,art_museum,overture,-22.910724639892578,-43.18042755126953,,overture:MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro:-22.91072:-43.18043
Mac,art_museum,overture,-22.907814025878906,-43.12583923339844,,overture:Mac:-22.90781:-43.12584
Mac - Niterói Contemporary Art Museum,art_museum,overture,-22.8283634185791,-43.28694152832031,,overture:Mac - Niterói Contemporary Art Museum:-22.82836:-43.28694
Museu Antonio Parreiras,art_museum,overture,-22.90177345275879,-43.12611389160156,,overture:Museu Antonio Parreiras:-22.90177:-43.12611
