id,name,category,lat,lon,wikidata_qid
overture:Casa França-Brasil:-22.90061:-43.17572,Casa França-Brasil,cultural_center,-22.900606155395508,-43.175724029541016,
overture:Chácara do Céu:-22.91795:-43.18295,Chácara do Céu,museum,-22.91794776916504,-43.18294906616211,
overture:Museu Casa do Pontal:-23.02386:-43.51019,Museu Casa do Pontal,museum,-23.02385902404785,-43.510189056396484,
overture:Museu de Arte do Rio (MAR):-22.89688:-43.18177,Museu de Arte do Rio (MAR),museum,-22.896881103515625,-43.18177032470703,
overture:Polo Praça XV:-22.90282:-43.17458,Polo Praça XV,public_square,-22.902820587158203,-43.174583435058594,
wikidata:Q10352741,Praia de Botafogo,natural_landmark,-22.94437,-43.1809,Q10352741
wikidata:Q63894,Praia de Copacabana,natural_landmark,-22.970958,-43.181649,Q63894
wikidata:Q3390838,Praia de Ipanema,natural_landmark,-22.985,-43.205,Q3390838
wikidata:Q22069130,Praia do Arpoador,natural_landmark,-22.987222222222,-43.196388888889,Q22069130
wikidata:Q10353030,Praia do Leblon,natural_landmark,-22.98678,-43.2202,Q10353030
wikidata:Q45242,Instituto De Pesquisas Jardim Botânico Do Rio De Janeiro,natural_landmark,-22.9675,-43.223889,Q45242
wikidata:Q56695607,Sítio Roberto Burle Marx,natural_landmark,-23.02385,-43.54474,Q56695607
wikidata:Q30939541,Centro Cultural Banco do Brasil (Rio de Janeiro),cultural_center,-22.90077607785679,-43.17643970730361,Q30939541
overture:Centro Cultural Correios:-22.90116:-43.17590,Centro Cultural Correios,cultural_center,-22.90115737915039,-43.17589569091797,
overture:Centro Cultural Fundição Progresso:-22.91251:-43.18025,Centro Cultural Fundição Progresso,cultural_center,-22.912513732910156,-43.18024826049805,
overture:Centro Cultural Municipal Parque das Ruínas:-22.91747:-43.18248,Centro Cultural Municipal Parque das Ruínas,cultural_center,-22.917470932006836,-43.18247985839844,
overture:Feira de São Cristóvão:-22.90729:-43.22304,Feira de São Cristóvão,market,-22.90729331970215,-43.22304153442383,
wikidata:Q6041378,Instituto Moreira Salles (IMS Rio),cultural_center,-22.98185,-43.23922,Q6041378
overture:Paço Imperial:-22.90355:-43.17431,Paço Imperial,historic_site,-22.90355110168457,-43.174312591552734,
overture:Samba da Pedra do Sal:-22.89789:-43.18546,Samba da Pedra do Sal,memorial,-22.89789390563965,-43.185455322265625,
wikidata:Biblioteca Nacional do Brasil:-22.90972:-43.17550,Biblioteca Nacional do Brasil,library,-22.909723,-43.175501,Q948882
wikidata:Casa de Rui Barbosa:-22.94875:-43.18705,Casa de Rui Barbosa,museum,-22.948753553,-43.187046216,Q61000992
wikidata:Q2411716,Catedral Metropolitana de São Sebastião,church,-22.910925,-43.180711,Q2411716
wikidata:Convento de Santo Antônio:-22.90725:-43.17914,Convento de Santo Antônio,church,-22.90725,-43.179138888,Q14947966
wikidata:Estádio Jornalista Mário Filho:-22.91222:-43.23028,Estádio Jornalista Mário Filho,historic_site,-22.912222222,-43.230277777,Q155174
wikidata:Fortaleza de São João:-22.94337:-43.15646,Fortaleza de São João,historic_site,-22.943372,-43.156458,Q5472516
wikidata:Forte de Copacabana:-22.98583:-43.18528,Forte de Copacabana,historic_site,-22.985833333,-43.185277777,Q5470982
wikidata:Q82312,Igreja da Candelária,church,-22.900811111111,-43.177894444444,Q82312
wikidata:Q10300392,Igreja da Glória do Outeiro,church,-22.92144722,-43.17543333,Q10300392
wikidata:Igreja da Ordem Terceira do Carmo:-22.90309:-43.17556,Igreja da Ordem Terceira do Carmo,church,-22.90309444,-43.17555833,Q10300293
wikidata:Q2942273,Igreja de N. S. do Carmo (Antiga Sé),church,-22.903333333333332,-43.175555555555555,Q2942273
wikidata:Q10300289,Igreja de São Francisco da Penitência,church,-22.90680164594349,-43.17912972690945,Q10300289
wikidata:Igreja de São Francisco de Paula:-22.90549:-43.18059,Igreja de São Francisco de Paula,church,-22.905493,-43.180594,Q10300739
wikidata:Lagoa Rodrigo de Freitas:-22.97111:-43.21167,Lagoa Rodrigo de Freitas,natural_landmark,-22.971111111,-43.211666666,Q429897
wikidata:Morro Dois Irmãos:-22.99080:-43.23960,Morro Dois Irmãos,natural_landmark,-22.9908,-43.2396,Q18476300
