name,category,source,lat,lon,wikidata_qid
Casa França-Brasil,cultural_center,overture,-22.900606155395508,-43.175724029541016,
Chácara do Céu,museum,overture,-22.91794776916504,-43.18294906616211,
Museu Casa do Pontal,museum,overture,-23.02385902404785,-43.510189056396484,
Museu de Arte do Rio (MAR),museum,overture,-22.896881103515625,-43.18177032470703,
Polo Praça XV,public_square,overture,-22.902820587158203,-43.174583435058594,
Praia de Botafogo,natural_landmark,wikidata,-22.94437,-43.1809,Q10352741
Praia de Copacabana,natural_landmark,wikidata,-22.970958,-43.181649,Q63894
Praia de Ipanema,natural_landmark,wikidata,-22.985,-43.205,Q3390838
Praia do Arpoador,natural_landmark,wikidata,-22.987222222222,-43.196388888889,Q22069130
Praia do Leblon,natural_landmark,wikidata,-22.98678,-43.2202,Q10353030
Instituto De Pesquisas Jardim Botânico Do Rio De Janeiro,natural_landmark,wikidata,-22.9675,-43.223889,Q45242
Sítio Roberto Burle Marx,natural_landmark,wikidata,-23.02385,-43.54474,Q56695607
Centro Cultural Banco do Brasil (Rio de Janeiro),cultural_center,wikidata,-22.90077607785679,-43.17643970730361,Q30939541
Centro Cultural Correios,cultural_center,overture,-22.90115737915039,-43.17589569091797,
Centro Cultural Fundição Progresso,cultural_center,overture,-22.912513732910156,-43.18024826049805,
Centro Cultural Municipal Parque das Ruínas,cultural_center,overture,-22.917470932006836,-43.18247985839844,
Feira de São Cristóvão,market,overture,-22.90729331970215,-43.22304153442383,
Instituto Moreira Salles (IMS Rio),cultural_center,wikidata,-22.98185,-43.23922,Q6041378
Paço Imperial,historic_site,overture,-22.90355110168457,-43.174312591552734,
Samba da Pedra do Sal,memorial,overture,-22.89789390563965,-43.185455322265625,
Biblioteca Nacional do Brasil,library,wikidata,-22.909723,-43.175501,Q948882
Casa de Rui Barbosa,museum,wikidata,-22.948753553,-43.187046216,Q61000992
Catedral Metropolitana de São Sebastião,church,wikidata,-22.910925,-43.180711,Q2411716
Convento de Santo Antônio,church,wikidata,-22.90725,-43.179138888,Q14947966
Estádio Jornalista Mário Filho,historic_site,wikidata,-22.912222222,-43.230277777,Q155174
Fortaleza de São João,historic_site,wikidata,-22.943372,-43.156458,Q5472516
Forte de Copacabana,historic_site,wikidata,-22.985833333,-43.185277777,Q5470982
Igreja da Candelária,church,wikidata,-22.900811111111,-43.177894444444,Q82312
Igreja da Glória do Outeiro,church,wikidata,-22.92144722,-43.17543333,Q10300392
Igreja da Ordem Terceira do Carmo,church,wikidata,-22.90309444,-43.17555833,Q10300293
Igreja de N. S. do Carmo (Antiga Sé),church,wikidata,-22.903333333333332,-43.175555555555555,Q2942273
Igreja de São Francisco da Penitência,church,wikidata,-22.90680164594349,-43.17912972690945,Q10300289
Igreja de São Francisco de Paula,church,wikidata,-22.905493,-43.180594,Q10300739
Lagoa Rodrigo de Freitas,natural_landmark,wikidata,-22.971111111,-43.211666666,Q429897
Morro Dois Irmãos,natural_landmark,wikidata,-22.9908,-43.2396,Q18476300
Mosteiro de São Bento,church,wikidata,-22.8970349,-43.178051,Q2820360
Palácio Tiradentes,historic_site,wikidata,-22.90387009,-43.173877,Q2048490
Palácio do Itamaraty,historic_site,wikidata,-22.902925,-43.18795,Q10344051
Parque Lage,public_square,wikidata,-22.9606,-43.212,Q7139641
Parque do Flamengo (Aterro),public_square,wikidata,-22.921,-43.17,Q5457206
Passeio Público,public_square,wikidata,-22.91379722,-43.17598611,Q7142572
Sambódromo da Marquês de Sapucaí,theater,wikidata,-22.911384,-43.196851,Q281521
Espaço Cultural Trem do Corcovado,historic_site,overture,-22.939891815185547,-43.2032585144043,
Museu Histórico Nacional,museum,overture,-22.905832290649414,-43.16965866088867,
