id,name,lat,lon,scope
overture:Acueducto Carioca:-22.91260:-43.17985,Acueducto Carioca,-22.91259765625,-43.17985153198242,CULTURAL
overture:Alfa Barra Resort & Services:-23.00969:-43.36879,Alfa Barra Resort & Services,-23.009693145751957,-43.36878967285156,NOISE
overture:Amarelinho:-22.82423:-43.33832,Amarelinho,-22.82423210144043,-43.33831787109375,NOISE
overture:Antiga Casa do Sitio do Picapau Amarelo:-23.04592:-43.55410,Antiga Casa do Sitio do Picapau Amarelo,-23.045921325683597,-43.55409622192383,CULTURAL
overture:Aqueduct Taquara:-22.93625:-43.39985,Aqueduct Taquara,-22.93624687194824,-43.39985275268555,CULTURAL
overture:Aqueduto da Carioca:-22.91260:-43.17985,Aqueduto da Carioca,-22.91259765625,-43.17985153198242,CULTURAL
overture:Arcos da Lapa:-22.91285:-43.17978,Arcos da Lapa,-22.9128532409668,-43.179779052734375,CULTURAL
overture:Armazem da Utopia:-22.89419:-43.19883,Armazem da Utopia,-22.894193649291992,-43.19882583618164,CULTURAL
overture:Arroio Tindiba:-22.93262:-43.36539,Arroio Tindiba,-22.9326229095459,-43.36539077758789,NATURAL
overture:Asé Carmelita:-22.87307:-43.57642,Asé Carmelita,-22.87306785583496,-43.576419830322266,NOISE
overture:Bosque Dos Esquilos:-22.96207:-43.33475,Bosque Dos Esquilos,-22.962066650390625,-43.334747314453125,NATURAL
overture:Bosque da Boiúna:-22.91417:-43.39582,Bosque da Boiúna,-22.914167404174805,-43.39582061767578,NATURAL
overture:Bosque dos Bandeirantes:-23.00510:-43.50887,Bosque dos Bandeirantes,-23.005096435546875,-43.50886535644531,NATURAL
overture:Bosque dos Buritis:-22.93735:-43.24649,Bosque dos Buritis,-22.937353134155277,-43.24648666381836,NATURAL
overture:Buraco do Lume:-22.90612:-43.17620,Buraco do Lume,-22.906118392944336,-43.17620468139648,NATURAL
"overture:Cachoeira Anil,rj:-22.88140:-43.43755","Cachoeira Anil,rj",-22.881404876708984,-43.43754959106445,NATURAL
overture:Cachoeira Da Mazomba:-22.84525:-43.76049,Cachoeira Da Mazomba,-22.84524917602539,-43.7604866027832,NATURAL
overture:Cachoeira Indiana Jones:-23.01663:-43.46807,Cachoeira Indiana Jones,-23.01663017272949,-43.46807098388672,NATURAL
"overture:Cachoeira Véu de Noiva, Vila de Maringa, Itatiaia, RJ:-22.92786:-43.35540","Cachoeira Véu de Noiva, Vila de Maringa, Itatiaia, RJ",-22.92786026000977,-43.35539627075195,NATURAL
overture:Cachoeira das Fadas-Minas Gerais:-22.95680:-43.17728,Cachoeira das Fadas-Minas Gerais,-22.956796646118164,-43.177276611328125,NATURAL
overture:Caminho dos Pescadores:-22.96348:-43.16468,Caminho dos Pescadores,-22.963476181030277,-43.164676666259766,NATURAL
overture:Campo de Sao Joao:-23.04862:-43.55834,Campo de Sao Joao,-23.04861640930176,-43.5583381652832,NOISE
overture:Canal Cação Vermelho:-22.90222:-43.69191,Canal Cação Vermelho,-22.902223587036133,-43.69191360473633,NATURAL
overture:Canal Faria-Timbó:-22.87880:-43.25071,Canal Faria-Timbó,-22.878803253173828,-43.25071334838867,NATURAL
overture:Canal Gruçai:-22.83657:-43.27370,Canal Gruçai,-22.836570739746094,-43.27370071411133,NATURAL
overture:Canal Marapendi:-23.00000:-43.31667,Canal Marapendi,-23.0,-43.316673278808594,NATURAL
overture:Canal de Sarapuí:-22.82750:-43.45278,Canal de Sarapuí,-22.827503204345703,-43.452781677246094,NATURAL
overture:Canal do Guandu:-22.86667:-43.68333,Canal do Guandu,-22.866670608520508,-43.68333053588867,NATURAL
overture:Canal do Mangue:-22.89732:-43.21064,Canal do Mangue,-22.89732360839844,-43.21064376831055,CULTURAL
overture:Capela de Santa Bárbara:-22.93829:-43.13165,Capela de Santa Bárbara,-22.93828582763672,-43.131649017333984,CULTURAL
overture:Casa do Oleiro:-22.76213:-43.42940,Casa do Oleiro,-22.762134552001957,-43.42940139770508,NOISE
overture:Catete Palace:-22.92588:-43.17620,Catete Palace,-22.925878524780277,-43.17620086669922,CULTURAL
overture:Centro de Tradições Nordestinas Luiz Gonzaga:-22.89746:-43.22038,Centro de Tradições Nordestinas Luiz Gonzaga,-22.897462844848636,-43.22037506103516,CULTURAL
overture:Chalé do Alto:-22.96402:-43.27631,Chalé do Alto,-22.96402359008789,-43.27631378173828,NOISE
overture:Chalé do Sal:-22.93050:-43.18996,Chalé do Sal,-22.930503845214844,-43.1899642944336,NOISE
overture:Chácara Froes:-22.91351:-43.10960,Chácara Froes,-22.91351318359375,-43.10960006713867,NOISE
overture:Chácara da Freguesia:-22.94434:-43.33445,Chácara da Freguesia,-22.944339752197266,-43.33444595336914,NOISE
overture:Chácara do Abaeté:-22.90250:-43.11543,Chácara do Abaeté,-22.902502059936523,-43.11543273925781,NOISE
overture:Chácara do Itaguaí:-22.89673:-43.10253,Chácara do Itaguaí,-22.896732330322266,-43.10253143310547,NOISE
overture:Cidade Universitária da UFRJ:-22.85306:-43.22583,Cidade Universitária da UFRJ,-22.85305595397949,-43.225833892822266,CULTURAL
overture:Claris Casa & Clube:-23.01392:-43.44058,Claris Casa & Clube,-23.013916015625,-43.44058227539063,NOISE
overture:Clube Militar:-22.95633:-43.16476,Clube Militar,-22.95632553100586,-43.16476058959961,CULTURAL
overture:Clube Naval:-22.90818:-43.17667,Clube Naval,-22.908180236816406,-43.17667388916016,CULTURAL
overture:Clube dos marambaias:-23.05920:-43.56100,Clube dos marambaias,-23.059200286865234,-43.56100463867188,NOISE
overture:Cocotá - Ilha Do Governador:-22.80269:-43.18229,Cocotá - Ilha Do Governador,-22.80268859863281,-43.18228530883789,NOISE
overture:Copa do Rei:-22.85650:-43.35308,Copa do Rei,-22.85650062561035,-43.35307693481445,NOISE
overture:Coqueirinho:-22.77786:-43.32941,Coqueirinho,-22.77786445617676,-43.32940673828125,NOISE
overture:Coqueirão:-22.98709:-43.20627,Coqueirão,-22.987085342407227,-43.20627212524414,NOISE
overture:Coreto de Sepetiba Rj:-22.97089:-43.70963,Coreto de Sepetiba Rj,-22.97089385986328,-43.70962905883789,CULTURAL
overture:Costão do Grumari:-23.05495:-43.53920,Costão do Grumari,-23.054950714111328,-43.53920364379883,NATURAL
overture:Covanca:-22.91579:-43.34472,Covanca,-22.915786743164062,-43.3447151184082,NOISE
