id,name,lat,lon,category,scope,reason
overture:Aldeia Maracanã:-22.91103:-43.22773,Aldeia Maracanã,-22.911029815673828,-43.22772979736328,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Cantina do Mam:-22.91401:-43.17272,Cantina do Mam,-22.914005279541016,-43.17272186279297,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Casa França-Brasil:-22.90061:-43.17572,Casa França-Brasil,-22.900606155395508,-43.175724029541016,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Casa de Cultura Ife Ominira:-22.86266:-43.36122,Casa de Cultura Ife Ominira,-22.862659454345703,-43.36122131347656,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Casa de Cultura José Bonifácio:-22.76375:-43.10957,Casa de Cultura José Bonifácio,-22.763750076293945,-43.10957336425781,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Chácara do Céu:-22.91795:-43.18295,Chácara do Céu,-22.91794776916504,-43.18294906616211,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Cinemateca do MAM:-22.91382:-43.17284,Cinemateca do MAM,-22.913820266723633,-43.17283630371094,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Ensaio Técnico de Rua Unidos da Tijuca:-22.90422:-43.20693,Ensaio Técnico de Rua Unidos da Tijuca,-22.90422248840332,-43.20692825317383,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Exposição Pessach:-22.93586:-43.18978,Exposição Pessach,-22.935863494873047,-43.189781188964844,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Fundação de Arte de Niterói:-22.90369:-43.12493,Fundação de Arte de Niterói,-22.903688430786133,-43.12492752075195,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Galeria Mestre Vitalino:-22.92574:-43.17659,Galeria Mestre Vitalino,-22.925739288330078,-43.17658996582031,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Instituto Casa Roberto Marinho (ICRM):-22.93993:-43.20409,Instituto Casa Roberto Marinho (ICRM),-22.93992805480957,-43.20408630371094,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Leão Etíope do Méier:-22.90203:-43.27982,Leão Etíope do Méier,-22.90203285217285,-43.279823303222656,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro:-22.91072:-43.18043,MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro,-22.910724639892578,-43.18042755126953,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Mac:-22.90781:-43.12584,Mac,-22.907814025878906,-43.12583923339844,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Mac - Niterói Contemporary Art Museum:-22.82836:-43.28694,Mac - Niterói Contemporary Art Museum,-22.8283634185791,-43.28694152832031,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Museu Antonio Parreiras:-22.90177:-43.12611,Museu Antonio Parreiras,-22.90177345275879,-43.12611389160156,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Museu Arquidiocesano de Arte Sacra do Rio de Janeiro (MAAS):-22.91014:-43.18058,Museu Arquidiocesano de Arte Sacra do Rio de Janeiro (MAAS),-22.910140991210938,-43.180580139160156,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Museu Astronomico:-22.91216:-43.10838,Museu Astronomico,-22.91215705871582,-43.10837936401367,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Museu Casa do Pontal:-23.02386:-43.51019,Museu Casa do Pontal,-23.02385902404785,-43.510189056396484,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Museu Do Graffiti:-22.81739:-43.35756,Museu Do Graffiti,-22.8173885345459,-43.35755920410156,art_museum,CULTURAL,"trusted category, sample-audited clean"
overture:Museu Janete Costa de Arte Popular:-22.90370:-43.12810,Museu Janete Costa de Arte Popular,-22.903703689575195,-43.12810134887695,art_museum,CULTURAL,"trusted category, sample-audited clean"
