name,category,source,lat,lon,wikidata_qid,id
Rio Itapuca,landmark_and_historical_building,overture,-23.036640167236328,-43.55787658691406,,overture:Rio Itapuca:-23.03664:-43.55788
Pedra Do Telégrafo,landmark_and_historical_building,overture,-23.03350067138672,-43.56239700317383,,overture:Pedra Do Telégrafo:-23.03350:-43.56240
Serra do Grumari,landmark_and_historical_building,overture,-23.0334529876709,-43.5356559753418,,overture:Serra do Grumari:-23.03345:-43.53566
Rio do Portinho,landmark_and_historical_building,overture,-23.04287338256836,-43.576541900634766,,overture:Rio do Portinho:-23.04287:-43.57654
Antiga Casa do Sitio do Picapau Amarelo,landmark_and_historical_building,overture,-23.045921325683594,-43.55409622192383,,overture:Antiga Casa do Sitio do Picapau Amarelo:-23.04592:-43.55410
Garganta do Grumari,landmark_and_historical_building,overture,-23.04844093322754,-43.549896240234375,,overture:Garganta do Grumari:-23.04844:-43.54990
Campo de Sao Joao,landmark_and_historical_building,overture,-23.048616409301758,-43.5583381652832,,overture:Campo de Sao Joao:-23.04862:-43.55834
Costão do Grumari,landmark_and_historical_building,overture,-23.054950714111328,-43.53920364379883,,overture:Costão do Grumari:-23.05495:-43.53920
"Ilha das Palmas (ö i Brasilien, Rio de Janeiro, lat -23,06, long -43,51)",landmark_and_historical_building,overture,-23.062843322753906,-43.511531829833984,,"overture:Ilha das Palmas (ö i Brasilien, Rio de Janeiro, lat -23,06, long -43,51):-23.06284:-43.51153"
Clube dos marambaias,landmark_and_historical_building,overture,-23.059200286865234,-43.561004638671875,,overture:Clube dos marambaias:-23.05920:-43.56100
Canal do Bacalhau,landmark_and_historical_building,overture,-23.057710647583008,-43.563270568847656,,overture:Canal do Bacalhau:-23.05771:-43.56327
Pedra da Tartaruga,landmark_and_historical_building,overture,-23.073312759399414,-43.5512580871582,,overture:Pedra da Tartaruga:-23.07331:-43.55126
Mc Nego do Borel,landmark_and_historical_building,overture,-23.067123413085938,-43.56571578979492,,overture:Mc Nego do Borel:-23.06712:-43.56572
Serra Grande-Santa Cruz Rj,landmark_and_historical_building,overture,-22.940536499023438,-43.68299102783203,,overture:Serra Grande-Santa Cruz Rj:-22.94054:-43.68299
Sítio Duros na Queda,topic_concert_venue,overture,-22.94070053100586,-43.684871673583984,,overture:Sítio Duros na Queda:-22.94070:-43.68487
Madean Secret,topic_concert_venue,overture,-22.9406795501709,-43.680335998535156,,overture:Madean Secret:-22.94068:-43.68034
Viva Vida Zona Oeste,landmark_and_historical_building,overture,-22.940658569335938,-43.662940979003906,,overture:Viva Vida Zona Oeste:-22.94066:-43.66294
Sítio Sossego,topic_concert_venue,overture,-22.93893051147461,-43.6463508605957,,overture:Sítio Sossego:-22.93893:-43.64635
Forró do Sítio do Moa,topic_concert_venue,overture,-22.938570022583008,-43.69713592529297,,overture:Forró do Sítio do Moa:-22.93857:-43.69714
Casa de Festa Cristal kids,topic_concert_venue,overture,-22.937183380126953,-43.70003128051758,,overture:Casa de Festa Cristal kids:-22.93718:-43.70003
